ID,Дата,Категория,Количество,Цена_USD,Выручка_USD
1,2026-01-01,Смартфоны,5,1075.0,5375.0
2,2026-01-02,Ноутбуки,1,1071.0,1071.0
3,2026-01-03,Смартфоны,6,615.0,3690.0
4,2026-01-04,Смартфоны,9,1179.0,10611.0
5,2026-01-05,Смартфоны,1,752.0,752.0
6,2026-01-06,Ноутбуки,3,451.0,1353.0
7,2026-01-07,Смартфоны,7,779.0,5453.0
8,2026-01-08,Смартфоны,4,211.0,844.0
9,2026-01-09,Смартфоны,9,251.0,2259.0
10,2026-01-10,Ноутбуки,3,1045.0,3135.0
11,2026-01-11,Смартфоны,5,319.0,1595.0
12,2026-01-12,Смартфоны,3,865.0,2595.0
13,2026-01-13,Смартфоны,7,505.0,3535.0
14,2026-01-14,Смартфоны,5,1066.0,5330.0
15,2026-01-15,Ноутбуки,9,345.0,3105.0
16,2026-01-16,Смартфоны,7,769.0,5383.0
17,2026-01-17,Ноутбуки,2,387.0,774.0
18,2026-01-18,Ноутбуки,4,928.0,3712.0
19,2026-01-19,Ноутбуки,9,1126.0,10134.0
20,2026-01-20,Смартфоны,2,841.0,1682.0
21,2026-01-21,Ноутбуки,9,266.0,2394.0
22,2026-01-22,Смартфоны,5,813.0,4065.0
23,2026-01-23,Ноутбуки,2,237.0,474.0
24,2026-01-24,Ноутбуки,4,429.0,1716.0
25,2026-01-25,Ноутбуки,7,542.0,3794.0
26,2026-01-26,Ноутбуки,8,1114.0,8912.0
27,2026-01-27,Ноутбуки,3,64.0,192.0
28,2026-01-28,Ноутбуки,1,114.0,114.0
29,2026-01-29,Ноутбуки,4,570.0,2280.0
30,2026-01-30,Ноутбуки,2,697.0,1394.0
